UNITID,EFFYLEV,LSTUDY,XFYRAC01,FYRACE01,XFYRAC02,FYRACE02,XFYRAC03,FYRACE03,XFYRAC04,FYRACE04,XFYRAC05,FYRACE05,XFYRAC06,FYRACE06,XFYRAC07,FYRACE07,XFYRAC08,FYRACE08,XFYRAC09,FYRACE09,XFYRAC10,FYRACE10,XFYRAC11,FYRACE11,XFYRAC12,FYRACE12,XFYRAC13,FYRACE13,XFYRAC14,FYRACE14,XFYRAC15,FYRACE15,XFYRAC16,FYRACE16,XFYRAC17,FYRACE17,XFYRAC18,FYRACE18,XFYRAC19,FYRACE19,XFYRAC20,FYRACE20,XFYRAC21,FYRACE21,XFYRAC22,FYRACE22,XFYRAC23,FYRACE23,XFYRAC24,FYRACE24
100760,1,999,"Z",0,"Z",0,"R",145,"R",595,"R",2,"R",11,"R",5,"R",5,"R",7,"R",12,"R",746,"R",1438,"R",4,"R",2,"R",909,"R",2063,"Z",0,"R",740,"R",13,"R",10,"R",19,"R",2184,"R",6,"R",2972
100760,2,  1,"Z",0,"Z",0,"R",145,"R",595,"R",2,"R",11,"R",5,"R",5,"R",7,"R",12,"R",746,"R",1438,"R",4,"R",2,"R",909,"R",2063,"Z",0,"R",740,"R",13,"R",10,"R",19,"R",2184,"R",6,"R",2972
100812,1,999,"Z",0,"Z",0,"R",144,"R",313,"R",37,"R",71,"R",5,"R",23,"R",15,"R",21,"R",1013,"R",2104,"R",29,"R",65,"R",1243,"R",2597,"Z",0,"R",457,"R",108,"R",28,"R",36,"R",3117,"R",94,"R",3840
100812,2,  1,"Z",0,"Z",0,"R",144,"R",313,"R",37,"R",71,"R",5,"R",23,"R",15,"R",21,"R",1013,"R",2104,"R",29,"R",65,"R",1243,"R",2597,"Z",0,"R",457,"R",108,"R",28,"R",36,"R",3117,"R",94,"R",3840
100830,1,999,"R",13,"R",11,"R",547,"R",1759,"R",14,"R",22,"R",51,"R",81,"R",42,"R",56,"R",1594,"R",2376,"R",65,"R",99,"R",2326,"R",4404,"R",24,"R",2306,"R",36,"R",132,"R",98,"R",3970,"R",164,"R",6730
100830,2,  1,"R",10,"R",9,"R",451,"R",1416,"R",12,"R",17,"R",41,"R",64,"R",34,"R",46,"R",1363,"R",1966,"R",62,"R",85,"R",1973,"R",3603,"R",19,"R",1867,"R",29,"R",105,"R",80,"R",3329,"R",147,"R",5576
100830,4,  3,"R",3,"R",2,"R",96,"R",343,"R",2,"R",5,"R",10,"R",17,"R",8,"R",10,"R",231,"R",410,"R",3,"R",14,"R",353,"R",801,"R",5,"R",439,"R",7,"R",27,"R",18,"R",641,"R",17,"R",1154
100858,1,999,"R",586,"R",358,"R",939,"R",1145,"R",89,"R",52,"R",219,"R",194,"R",198,"R",193,"R",10692,"R",10189,"R",200,"R",149,"R",12923,"R",12280,"R",944,"R",2084,"R",141,"R",413,"R",391,"R",20881,"R",349,"R",25203
100858,2,  1,"R",98,"R",75,"R",822,"R",895,"R",76,"R",42,"R",179,"R",141,"R",160,"R",152,"R",9126,"R",8427,"R",170,"R",112,"R",10631,"R",9844,"R",173,"R",1717,"R",118,"R",320,"R",312,"R",17553,"R",282,"R",20475
100858,3,  2,"R",1,"R",3,"R",12,"R",23,"R",2,"R",3,"R",13,"R",24,"R",4,"R",2,"R",281,"R",549,"R",2,"R",7,"R",315,"R",611,"R",4,"R",35,"R",5,"R",37,"R",6,"R",830,"R",9,"R",926
100858,4,  3,"R",487,"R",280,"R",105,"R",227,"R",11,"R",7,"R",27,"R",29,"R",34,"R",39,"R",1285,"R",1213,"R",28,"R",30,"R",1977,"R",1825,"R",767,"R",332,"R",18,"R",56,"R",73,"R",2498,"R",58,"R",3802
100937,1,999,"R",3,"R",2,"R",38,"R",103,"R",1,"R",2,"R",13,"R",27,"R",8,"R",9,"R",562,"R",693,"R",7,"R",2,"R",632,"R",838,"R",5,"R",141,"R",3,"R",40,"R",17,"R",1255,"R",9,"R",1470
100937,2,  1,"R",3,"R",1,"R",29,"R",67,"R",1,"R",2,"R",13,"R",27,"R",7,"R",8,"R",534,"R",673,"R",7,"R",2,"R",594,"R",780,"R",4,"R",96,"R",3,"R",40,"R",15,"R",1207,"R",9,"R",1374
100937,4,  3,"Z",0,"R",1,"R",9,"R",36,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",1,"R",28,"R",20,"Z",0,"Z",0,"R",38,"R",58,"R",1,"R",45,"Z",0,"Z",0,"R",2,"R",48,"Z",0,"R",96
